n_layer1;n_layer2;dropout_1;dropout_2;act;optim;n_batch;best_val_acc
512;128;0.036579278238926385;0.09947758727870916;leakyrelu;rmsprop;128;0.8773
256;512;0.15839934843177178;0.03558565368539468;relu;adam;256;0.8835
256;256;0.34566295234504485;0.12158214849183993;relu;adam;128;0.8913
512;128;0.28019224850096835;0.16435936885816568;relu;rmsprop;256;0.8738
256;256;0.44293901753807374;0.30588983878627474;swish;adam;256;0.8747
256;128;0.2042824263935967;0.002840239948069173;relu;sgd;64;0.8843
128;256;0.32681293393575844;0.07031464794352438;relu;adam;128;0.8819
256;256;0.2254812632228961;0.05739858943016635;relu;adam;256;0.8918
512;128;0.35792997115392367;0.1774344967817289;leakyrelu;rmsprop;128;0.8655
256;512;0.39628767073333204;0.20739968322965593;relu;adam;256;0.8945
256;256;0.30936070732516935;0.1585248707509772;relu;adam;128;0.8852
512;128;0.3828119440289948;0.19025104212050542;relu;rmsprop;256;0.8898
256;256;0.29635115445623256;0.11325813473151172;swish;adam;256;0.8815
256;128;0.2561667000728283;0.07619989469625436;relu;sgd;64;0.8738
128;256;0.34396844676177224;0.4064136450951462;relu;adam;128;0.8848
256;256;0.26985036617857766;0.14297153921321087;relu;adam;256;0.8885
512;128;0.026018227852263542;0.04807038895523187;leakyrelu;rmsprop;128;0.8796
256;512;0.47906711915303213;0.21397233549447844;relu;adam;256;0.8877
256;256;0.4056416237505899;0.17920200425330704;relu;adam;128;0.8816
512;128;0.3330816671060906;0.23868738932550287;relu;rmsprop;256;0.8563
256;256;0.18744983286410533;0.030865669405657395;swish;adam;256;0.879
256;128;0.42494736797004795;0.17159694560395178;relu;sgd;64;0.8808
128;256;0.37480584504132886;0.19249048950105796;relu;adam;128;0.8838
256;256;0.10503350522243687;0.08981896932266374;relu;adam;256;0.893
512;128;0.31697197334912436;0.1518996220474949;leakyrelu;rmsprop;128;0.8695
256;512;0.28519533130152536;0.1312252381160522;relu;adam;256;0.8938
256;256;0.3511459871071044;0.20113779838113233;relu;adam;128;0.8822
512;128;0.07306273791682887;0.10726594122161684;relu;rmsprop;256;0.8756
256;256;0.21708837097686345;0.06377013923129271;relu;adam;256;0.8974
256;256;0.43382141723137013;0.015690839315572608;swish;adam;64;0.885
128;256;0.3625160809301051;0.020823936679621555;relu;sgd;128;0.8679
256;256;0.29981990498407607;0.0007025594801644136;relu;adam;256;0.8952
